County,Congressional_District,District_of_Concern
Alamance County,6,no concerns
Alexander County,5,no concerns
Alleghany County,5,no concerns
Anson County,9,no concerns
Ashe County,5,no concerns
Avery County,5,no concerns
Beaufort County,3,no concerns
Bertie County,1,dist of concern
Bladen County,7,no concerns
Bladen County,9,no concerns
Brunswick County,7,no concerns
Buncombe County,10,no concerns
Buncombe County,11,no concerns
Burke County,11,no concerns
Cabarrus County,8,no concerns
Caldwell County,11,no concerns
Camden County,3,no concerns
Carteret County,3,no concerns
Caswell County,6,no concerns
Catawba County,5,no concerns
Catawba County,10,no concerns
Chatham County,6,no concerns
Cherokee County,11,no concerns
Chowan County,3,no concerns
Clay County,11,no concerns
Cleveland County,10,no concerns
Columbus County,7,no concerns
Craven County,3,no concerns
Cumberland County,8,no concerns
Currituck County,3,no concerns
Dare County,3,no concerns
Davidson County,13,no concerns
Davie County,13,no concerns
Duplin County,7,no concerns
Durham County,1,dist of concern
Durham County,4,no concerns
Edgecombe County,1,dist of concern
Forsyth County,5,no concerns
Franklin County,2,no concerns
Gaston County,10,no concerns
Gates County,1,dist of concern
Graham County,11,no concerns
Granville County,1,dist of concern
Greene County,3,no concerns
Guilford County,6,no concerns
Guilford County,13,no concerns
Halifax County,1,dist of concern
Harnett County,2,no concerns
Haywood County,11,no concerns
Henderson County,11,no concerns
Hertford County,1,dist of concern
Hoke County,8,no concerns
Hyde County,3,no concerns
Iredell County,10,no concerns
Iredell County,13,no concerns
Jackson County,11,no concerns
Johnston County,2,no concerns
Johnston County,7,no concerns
Jones County,3,no concerns
Lee County,6,no concerns
Lenoir County,3,no concerns
Lincoln County,10,no concerns
Macon County,11,no concerns
Madison County,11,no concerns
Martin County,1,dist of concern
McDowell County,11,no concerns
Mecklenburg County,12,dist of concern
Mecklenburg County,9,no concerns
Mitchell County,11,no concerns
Montgomery County,8,no concerns
Moore County,8,no concerns
Nash County,2,no concerns
New Hanover County,7,no concerns
Northampton County,1,dist of concern
Onslow County,3,no concerns
Orange County,4,no concerns
Pamlico County,3,no concerns
Pasquotank County,3,no concerns
Pender County,7,no concerns
Perquimans County,3,no concerns
Person County,6,no concerns
Pitt County,1,dist of concern
Pitt County,3,no concerns
Polk County,10,no concerns
Randolph County,6,no concerns
Richmond County,9,no concerns
Robeson County,9,no concerns
Rockingham County,6,no concerns
Rowan County,8,no concerns
Rowan County,13,no concerns
Rutherford County,10,no concerns
Sampson County,7,no concerns
Scotland County,9,no concerns
Stanly County,8,no concerns
Stokes County,5,no concerns
Surry County,5,no concerns
Swain County,11,no concerns
Transylvania County,11,no concerns
Tyrrell County,3,no concerns
Union County,9,no concerns
Vance County,1,dist of concern
Wake County,2,no concerns
Wake County,4,no concerns
Warren County,1,dist of concern
Washington County,1,dist of concern
Watauga County,5,no concerns
Wayne County,7,no concerns
Wilkes County,5,no concerns
Wilson County,1,dist of concern
Wilson County,2,no concerns
Yadkin County,5,no concerns
Yancey County,11,no concerns
