County,Congressional_District,District_of_Concern
Adams County,2,no concerns
Allen County,4,no concerns
Ashland County,7,no concerns
Ashtabula County,14,no concerns
Athens County,6,no concerns
Athens County,15,dist of concern
Auglaize County,4,no concerns
Belmont County,6,no concerns
Brown County,2,no concerns
Butler County,8,no concerns
Carroll County,6,no concerns
Champaign County,4,no concerns
Clark County,8,no concerns
Clermont County,2,no concerns
Clinton County,15,dist of concern
Columbiana County,6,no concerns
Coshocton County,7,no concerns
Crawford County,4,no concerns
Cuyahoga County,9,dist of concern
Cuyahoga County,11,no concerns
Cuyahoga County,14,no concerns
Cuyahoga County,16,no concerns
Darke County,8,no concerns
Defiance County,5,no concerns
Delaware County,12,dist of concern
Erie County,4,no concerns
Erie County,9,dist of concern
Fairfield County,15,dist of concern
Fayette County,10,no concerns
Fayette County,15,dist of concern
Franklin County,3,dist of concern
Franklin County,12,dist of concern
Franklin County,15,dist of concern
Fulton County,5,no concerns
Gallia County,6,no concerns
Geauga County,14,no concerns
Greene County,10,no concerns
Guernsey County,6,no concerns
Hamilton County,1,no concerns
Hamilton County,2,no concerns
Hancock County,5,no concerns
Hardin County,5,no concerns
Harrison County,6,no concerns
Henry County,5,no concerns
Highland County,2,no concerns
Hocking County,15,dist of concern
Holmes County,7,no concerns
Huron County,7,no concerns
Huron County,7,no concerns
Jackson County,6,no concerns
Jefferson County,6,no concerns
Knox County,7,no concerns
Lake County,14,no concerns
Lawrence County,6,no concerns
Licking County,12,dist of concern
Logan County,4,no concerns
Lorain County,4,no concerns
Lorain County,7,no concerns
Lorain County,9,dist of concern
Lucas County,5,no concerns
Lucas County,9,dist of concern
Madison County,15,dist of concern
Mahoning County,6,no concerns
Mahoning County,13,no concerns
Marion County,4,no concerns
Marion County,12,dist of concern
Medina County,7,no concerns
Medina County,16,no concerns
Meigs County,6,no concerns
Mercer County,4,no concerns
Mercer County,5,no concerns
Mercer County,8,no concerns
Miami County,8,no concerns
Monroe County,6,no concerns
Montgomery County,10,no concerns
Morgan County,15,dist of concern
Morrow County,12,dist of concern
Muskingum County,12,dist of concern
Muskingum County,6,no concerns
Noble County,6,no concerns
Ottawa County,5,no concerns
Ottawa County,9,dist of concern
Paulding County,5,no concerns
Perry County,15,dist of concern
Pickaway County,15,dist of concern
Pike County,2,no concerns
Portage County,13,no concerns
Portage County,14,no concerns
Portage County,16,no concerns
Preble County,8,no concerns
Putnam County,5,no concerns
Richland County,7,no concerns
Richland County,12,dist of concern
Ross County,2,no concerns
Ross County,15,dist of concern
Sandusky County,4,no concerns
Scioto County,2,no concerns
Scioto County,6,no concerns
Seneca County,4,no concerns
Shelby County,4,no concerns
Stark County,7,no concerns
Stark County,13,no concerns
Stark County,16,no concerns
Summit County,11,no concerns
Summit County,13,no concerns
Summit County,14,no concerns
Summit County,16,no concerns
Trumbull County,13,no concerns
Trumbull County,14,no concerns
Tuscarawas County,6,no concerns
Tuscarawas County,7,no concerns
Union County,4,no concerns
Van Wert County,5,no concerns
Vinton County,15,dist of concern
Warren County,1,no concerns
Washington County,6,no concerns
Wayne County,16,no concerns
Williams County,5,no concerns
Wood County,5,no concerns
Wyandot County,5,no concerns
