table_number,total_cell_count,corresp_file,cols
p1,1,01,6
p10,71,04,6-76
p11,73,04,77-149
p12,49,04,150-198
p12a,49,07,12-60
p12b,49,07,61-109
p12d,49,07,158-207
p12e,49,07,208-256
p12f,49,08,6-54
p12g,49,08,55-103
p12h,49,08,104-152
p12i,49,08,153-201
p13,3,04,199-201
p13a,3,08,202-204
p13b,3,08,205-207
p13d,3,08,210-212
p13e,3,08,213-215
p13f,3,08,216-218
p13g,3,08,219-221
p13h,3,08,222-224
p13i,3,08,225-227
p14,43,04,202-244
p2,6,02,6-11
p3,8,03,6-13
p35,1,06,96
p36,3,06,97-99
p37a,3,12,130-132
p37b,3,12,133-135
p37d,3,12,139-141
p37e,3,12,142-144
p37f,3,12,145-147
p37g,3,12,148-150
p37h,3,12,151-153
p37i,3,12,154-156
p4,3,03,14-16
p44,3,06,242-244
p45,3,06,245-247
p46,3,06,248-250
p47,3,06,251-253
p48,3,06,254-256
p49,3,06,257-259
p5,17,03,17-33
p6,7,03,34-40
p7,15,03,41-55
p8,71,03,56-126
p9,73,03,127-199
