County,Congressional_District,District_of_Concern
Anderson,3,no_concerns
Bedford,4,no_concerns
Benton,7,dist_of_concern
Benton,8,no_concerns
Bledsoe,4,no_concerns
Blount,2,no_concerns
Bradley,4,no_concerns
Bradley,3,no_concerns
Campbell,2,no_concerns
Campbell,3,no_concerns
Cannon,6,no_concerns
Carroll,8,no_concerns
Carter,1,no_concerns
Cheatham,6,no_concerns
Cheatham,5,no_concerns
Chester,7,dist_of_concern
Claiborne,2,no_concerns
Clay,6,no_concerns
Cocke,1,no_concerns
Coffee,6,no_concerns
Crockett,8,no_concerns
Cumberland,6,no_concerns
Davidson,5,no_concerns
DeKalb,6,no_concerns
Decatur,7,dist_of_concern
Dickson,5,no_concerns
Dyer,8,no_concerns
Fayette,8,no_concerns
Fentress,6,no_concerns
Franklin,4,no_concerns
Gibson,8,no_concerns
Giles,7,dist_of_concern
Grainger,2,no_concerns
Greene,1,no_concerns
Grundy,4,no_concerns
Hamblen,1,no_concerns
Hamilton,3,no_concerns
Hancock,1,no_concerns
Hardeman,7,dist_of_concern
Hardin,7,dist_of_concern
Hawkins,1,no_concerns
Haywood,8,no_concerns
Henderson,7,dist_of_concern
Henry,8,no_concerns
Hickman,7,dist_of_concern
Houston,7,dist_of_concern
Humphreys,7,dist_of_concern
Jackson,6,no_concerns
Jefferson,1,no_concerns
Jefferson,2,no_concerns
Johnson,1,no_concerns
Knox,2,no_concerns
Lake,8,no_concerns
Lauderdale,8,no_concerns
Lawrence,7,dist_of_concern
Lewis,7,dist_of_concern
Lincoln,4,no_concerns
Loudon,2,no_concerns
Macon,6,no_concerns
Madison,8,no_concerns
Marion,4,no_concerns
Marshall,4,no_concerns
Maury,4,no_concerns
Maury,7,dist_of_concern
McMinn,3,no_concerns
McNairy,7,dist_of_concern
Meigs,4,no_concerns
Monroe,3,no_concerns
Montgomery,7,dist_of_concern
Moore,4,no_concerns
Morgan,3,no_concerns
Obion,8,no_concerns
Overton,6,no_concerns
Perry,7,dist_of_concern
Pickett,6,no_concerns
Polk,3,no_concerns
Putnam,6,no_concerns
Rhea,4,no_concerns
Roane,3,no_concerns
Robertson,6,no_concerns
Rutherford,4,no_concerns
Scott,3,no_concerns
Sequatchie,4,no_concerns
Sevier,1,no_concerns
Shelby,8,no_concerns
Shelby,9,no_concerns
Smith,6,no_concerns
Stewart,7,dist_of_concern
Sullivan,1,no_concerns
Sumner,6,no_concerns
Tipton,8,no_concerns
Trousdale,6,no_concerns
Unicoi,1,no_concerns
Union,3,no_concerns
Van_Buren,4,no_concerns
Van_Buren,6,no_concerns
Warren,4,no_concerns
Washington,1,no_concerns
Wayne,7,dist_of_concern
Weakley,8,no_concerns
White,6,no_concerns
Williamson,7,dist_of_concern
Wilson,6,no_concerns
